config_id,strategy,status,sharpe,n_trades,max_drawdown,profit_factor,cum_return,calmar,long_pct,params
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.636528005453502,159,-0.11306272880934964,0.740173016284865,-0.09433569386113039,-0.13548741690323993,0.3962,"{""long_period"": 97, ""short_period"": 14}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.2771303777244687,117,-0.10322084281014687,0.8822369216837507,-0.030335248708354245,-0.046383330745715004,0.453,"{""long_period"": 80, ""short_period"": 13}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.636528005453502,159,-0.11306272880934964,0.740173016284865,-0.09433569386113039,-0.13548741690323993,0.3962,"{""long_period"": 73, ""short_period"": 7}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.2253715466079568,55,-0.041313862919703626,0.8293198089227641,-0.024100174044600187,-0.0918200268159983,0.4,"{""long_period"": 90, ""short_period"": 19}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,0.06553642597314521,99,-0.06279442226552712,1.0563618467553948,0.010657418375523475,0.02632310302832009,0.4444,"{""long_period"": 56, ""short_period"": 10}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,0.32505494498820353,82,-0.04256896538011823,1.2327699833643524,0.04386706403628038,0.15765008534861072,0.4878,"{""long_period"": 84, ""short_period"": 9}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.40464939191548005,129,-0.08098991159330482,0.8366787848977697,-0.04334479318557094,-0.08494659890997984,0.4109,"{""long_period"": 81, ""short_period"": 20}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.44943241281477314,133,-0.0785167408332057,0.7967324976316004,-0.06116411990739379,-0.12461937851192155,0.3985,"{""long_period"": 61, ""short_period"": 10}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.2599047958696758,117,-0.05883609892620756,0.8865022661197706,-0.023036518566055042,-0.061600926214494194,0.4701,"{""long_period"": 69, ""short_period"": 16}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.2599047958696758,117,-0.05883609892620756,0.8865022661197706,-0.023036518566055042,-0.061600926214494194,0.4701,"{""long_period"": 62, ""short_period"": 13}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.6870449779750675,109,-0.10478638738262269,0.6824505879504223,-0.08465834149976548,-0.1306152961285882,0.4128,"{""long_period"": 76, ""short_period"": 5}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.2685585088252501,46,-0.029336007703847033,0.8049737588110025,-0.02101058138448153,-0.11258309958270023,0.3913,"{""long_period"": 39, ""short_period"": 10}"
DualMovingAverageCrossover_767ba59891d3,DualMovingAverageCrossover,success,-0.2685585088252501,46,-0.029336007703847033,0.8049737588110025,-0.02101058138448153,-0.11258309958270023,0.3913,"{""long_period"": 100, ""short_period"": 19}"
